ville,mois,saison,temperature_moyenne,temp_min,temp_max,precipitations_totales,vent_moyen,score_meteo_moyen,jours_recommandes,jours_ouvres_totaux,pourcentage_recommandé,classement
Paris,5,Printemps,15.630645161290323,8.5,23.5,274.337,17.950537634408605,54.46236559139785,5,132,3.8,1
Paris,6,Été,19.95810055865922,13.3,29.2,308.481,16.744692737430167,62.06703910614525,25,128,19.5,3
Paris,7,Été,20.962179487179487,16.6,31.2,236.77,17.06025641025641,61.08974358974359,15,111,13.5,5
Paris,8,Été,21.107096774193547,15.0,31.0,233.031,16.71548387096774,65.2258064516129,21,111,18.9,5
Paris,9,Automne,18.16,9.7,27.7,272.1,15.813333333333333,61.0,17,108,15.7,4
Paris,10,Automne,13.834193548387098,8.5,20.7,383.925,17.19806451612903,53.29032258064516,0,109,0.0,1
Paris,11,Automne,8.850666666666665,0.0,16.4,191.617,17.634,55.266666666666666,0,108,0.0,1
Paris,12,Hiver,6.67741935483871,-1.8,15.1,310.73,18.84774193548387,51.225806451612904,0,111,0.0,4
Toulouse,1,Hiver,6.02741935483871,-1.6,13.7,293.09000000000003,20.82043010752688,52.903225806451616,0,133,0.0,1
Toulouse,2,Hiver,9.00294117647059,1.1,13.9,120.987,24.27235294117647,52.11764705882353,0,121,0.0,4
Toulouse,3,Printemps,10.781720430107528,2.2,17.1,217.031,28.241935483870968,50.0,0,133,0.0,4
Toulouse,4,Printemps,13.222777777777777,3.3,20.2,213.109,25.455,50.388888888888886,0,129,0.0,3
Toulouse,5,Printemps,17.1494623655914,10.2,25.7,287.152,23.601075268817205,50.913978494623656,3,132,2.3,5
Toulouse,6,Été,21.539106145251395,15.0,30.5,336.952,21.641899441340783,59.88826815642458,8,128,6.2,5
Toulouse,7,Été,23.608333333333334,15.5,30.8,116.652,21.66794871794872,70.06410256410257,15,111,13.5,4
Toulouse,8,Été,23.94322580645161,17.0,33.2,114.66,21.616129032258065,70.06451612903226,17,111,15.3,3
Toulouse,9,Automne,20.13,10.7,28.0,193.654,22.651333333333334,61.4,7,108,6.5,3
Toulouse,10,Automne,16.185806451612905,9.2,23.2,224.792,22.848387096774193,52.774193548387096,0,109,0.0,4
Toulouse,11,Automne,10.718666666666666,0.8,17.5,235.866,21.988666666666667,51.2,0,108,0.0,4
Toulouse,12,Hiver,7.693548387096774,-0.9,15.2,254.432,21.436129032258062,52.25806451612903,0,111,0.0,2
